Timestamp;fdb;ref;fdb;output
0;-8.085938E+000;-8.072367E+000;-8.085938E+000;1.063396E+003
100093;-8.085938E+000;-8.072367E+000;-8.085938E+000;1.063347E+003
200088;-8.041992E+000;-8.072367E+000;-8.041992E+000;1.061687E+003
300088;-8.129883E+000;-8.072367E+000;-8.129883E+000;1.064743E+003
400088;-8.041992E+000;-8.072367E+000;-8.041992E+000;1.061772E+003
500093;-7.998047E+000;-8.072367E+000;-8.085938E+000;1.063151E+003
600092;-8.085938E+000;-8.072367E+000;-8.085938E+000;1.063039E+003
700091;-8.085938E+000;-8.072367E+000;-8.085938E+000;1.062996E+003
800096;-8.173828E+000;-8.072367E+000;-8.173828E+000;1.066139E+003
900088;-8.085938E+000;-8.072367E+000;-8.085938E+000;1.062952E+003
1000092;-8.129883E+000;-8.072367E+000;-8.129883E+000;1.064380E+003
1100092;-8.173828E+000;-8.072367E+000;-8.173828E+000;1.065825E+003
1200093;-7.954102E+000;-8.074770E+000;-7.954102E+000;1.058080E+003
1300090;-8.129883E+000;-8.331960E+000;-8.129883E+000;1.053839E+003
1400092;-8.129883E+000;-8.467569E+000;-8.129883E+000;1.044773E+003
1500105;-8.041992E+000;-8.467569E+000;-8.041992E+000;1.037298E+003
1600089;-8.173828E+000;-8.467569E+000;-8.129883E+000;1.035963E+003
1700089;-8.173828E+000;-8.467569E+000;-8.173828E+000;1.033524E+003
1800089;-8.217773E+000;-8.467569E+000;-8.217773E+000;1.031174E+003
1900092;-8.173828E+000;-8.467569E+000;-8.173828E+000;1.025868E+003
2000090;-8.305664E+000;-8.467569E+000;-8.305664E+000;1.027152E+003
2100080;-8.173828E+000;-8.467569E+000;-8.173828E+000;1.019374E+003
2200091;-8.349609E+000;-8.467569E+000;-8.349609E+000;1.022521E+003
2300092;-8.217773E+000;-8.467569E+000;-8.217773E+000;1.015161E+003
2400093;-8.261719E+000;-8.467569E+000;-8.261719E+000;1.014244E+003
2500090;-8.349609E+000;-8.467569E+000;-8.349609E+000;1.014942E+003
2600093;-8.349609E+000;-8.467569E+000;-8.349609E+000;1.012566E+003
2700091;-8.305664E+000;-8.467569E+000;-8.349609E+000;1.010461E+003
2800089;-8.349609E+000;-8.467569E+000;-8.349609E+000;1.008594E+003
2900089;-8.305664E+000;-8.467569E+000;-8.305664E+000;1.005185E+003
3000091;-8.393555E+000;-8.467569E+000;-8.393555E+000;1.006505E+003
3100089;-8.305664E+000;-8.467569E+000;-8.305664E+000;1.001934E+003
3200093;-8.305664E+000;-8.467569E+000;-8.305664E+000;1.000680E+003
3300093;-8.349609E+000;-8.467569E+000;-8.349609E+000;1.001011E+003
3400092;-8.349609E+000;-8.467569E+000;-8.349609E+000;9.997991E+002
3500093;-8.393555E+000;-8.467569E+000;-8.393555E+000;1.000611E+003
3600089;-8.481445E+000;-8.467569E+000;-8.481445E+000;1.002898E+003
3700092;-8.393555E+000;-8.467569E+000;-8.393555E+000;9.990776E+002
3800090;-8.525391E+000;-8.467569E+000;-8.349609E+000;9.968937E+002
3900089;-8.481445E+000;-8.467569E+000;-8.481445E+000;1.000934E+003
4000090;-8.481445E+000;-8.467569E+000;-8.481445E+000;1.000331E+003
4100091;-8.481445E+000;-8.467569E+000;-8.481445E+000;9.997264E+002
4200093;-8.349609E+000;-8.476370E+000;-8.349609E+000;9.941770E+002
4300089;-8.349609E+000;-8.519735E+000;-8.349609E+000;9.916747E+002
4400093;-8.481445E+000;-8.603557E+000;-8.481445E+000;9.918103E+002
4500092;-8.569336E+000;-8.611156E+000;-8.569336E+000;9.926182E+002
4600093;-8.481445E+000;-8.611156E+000;-8.481445E+000;9.879589E+002
4700091;-8.481445E+000;-8.611156E+000;-8.481445E+000;9.863450E+002
4800091;-8.525391E+000;-8.611156E+000;-8.525391E+000;9.863553E+002
4900089;-8.481445E+000;-8.611156E+000;-8.525391E+000;9.850795E+002
5000093;-8.437500E+000;-8.611156E+000;-8.437500E+000;9.809672E+002
5100091;-8.569336E+000;-8.700150E+000;-8.569336E+000;9.810744E+002
5200075;-8.525391E+000;-8.953547E+000;-8.525391E+000;9.667351E+002
5300091;-8.789063E+000;-8.959946E+000;-8.789063E+000;9.717025E+002
5400090;-8.701172E+000;-8.959946E+000;-8.701172E+000;9.652345E+002
5500093;-8.701172E+000;-8.959946E+000;-8.701172E+000;9.619714E+002
5600091;-8.657227E+000;-8.959946E+000;-8.657227E+000;9.573246E+002
5700092;-8.833008E+000;-8.959946E+000;-8.833008E+000;9.607691E+002
5800089;-8.833008E+000;-8.959946E+000;-8.833008E+000;9.580790E+002
5900091;-8.789063E+000;-8.959946E+000;-8.789063E+000;9.541288E+002
6000092;-8.789063E+000;-8.959946E+000;-8.745117E+000;9.502644E+002
6100089;-8.745117E+000;-8.959946E+000;-8.745117E+000;9.484425E+002
6200090;-8.745117E+000;-8.959946E+000;-8.745117E+000;9.465414E+002
6300093;-8.745117E+000;-8.959946E+000;-8.745117E+000;9.447935E+002
6400091;-8.876953E+000;-8.959946E+000;-8.876953E+000;9.479191E+002
6500090;-8.876953E+000;-8.959946E+000;-8.876953E+000;9.465842E+002
6600093;-8.876953E+000;-8.959946E+000;-8.876953E+000;9.452175E+002
6700093;-8.876953E+000;-8.959946E+000;-8.876953E+000;9.442941E+002
6800091;-8.876953E+000;-8.959946E+000;-8.876953E+000;9.432662E+002
6900089;-8.876953E+000;-8.959946E+000;-8.876953E+000;9.423790E+002
7000093;-8.964844E+000;-8.959946E+000;-8.964844E+000;9.448146E+002
7100092;-8.876953E+000;-8.959946E+000;-8.876953E+000;9.410607E+002
7200090;-8.920898E+000;-8.959946E+000;-8.920898E+000;9.420803E+002
7300091;-8.876953E+000;-8.959946E+000;-8.876953E+000;9.401226E+002
7400089;-9.008789E+000;-8.959946E+000;-9.008789E+000;9.443043E+002
7500091;-9.008789E+000;-8.959946E+000;-9.008789E+000;9.439891E+002
7600093;-8.876953E+000;-8.959946E+000;-8.876953E+000;9.389490E+002
7700090;-8.964844E+000;-8.959946E+000;-8.964844E+000;9.418510E+002
7800089;-8.964844E+000;-8.959946E+000;-8.964844E+000;9.415789E+002
7900092;-8.876953E+000;-8.959946E+000;-8.920898E+000;9.398549E+002
8000092;-8.964844E+000;-8.959946E+000;-8.964844E+000;9.412186E+002
8100091;-9.008789E+000;-8.959946E+000;-9.008789E+000;9.427243E+002
8200089;-9.008789E+000;-8.959946E+000;-9.008789E+000;9.426550E+002
8300090;-8.964844E+000;-9.007352E+000;-8.964844E+000;9.393854E+002
8400090;-9.008789E+000;-9.139942E+000;-9.008789E+000;9.346744E+002
8500076;-8.964844E+000;-9.141644E+000;-8.964844E+000;9.312000E+002
8600092;-8.920898E+000;-9.141644E+000;-8.920898E+000;9.281473E+002
8700088;-9.052734E+000;-9.141644E+000;-9.052734E+000;9.314625E+002
8800093;-9.140625E+000;-9.141644E+000;-9.140625E+000;9.335785E+002
8900093;-9.052734E+000;-9.141644E+000;-9.052734E+000;9.296712E+002
9000093;-9.008789E+000;-9.141644E+000;-9.184570E+000;9.332758E+002
9100091;-9.052734E+000;-9.141644E+000;-9.052734E+000;9.280274E+002
9200092;-9.096680E+000;-9.141644E+000;-9.096680E+000;9.291279E+002
9300091;-9.096680E+000;-9.141644E+000;-9.096680E+000;9.333234E+002
9400091;-9.096680E+000;-9.141644E+000;-9.096680E+000;9.283825E+002
9500089;-9.140625E+000;-9.141644E+000;-9.140625E+000;9.297046E+002
9600089;-9.140625E+000;-9.141644E+000;-9.140625E+000;9.295745E+002
9700090;-9.140625E+000;-9.141644E+000;-9.140625E+000;9.294138E+002
9800093;-9.052734E+000;-9.141644E+000;-9.052734E+000;9.262568E+002
9900090;-9.140625E+000;-9.141644E+000;-9.140625E+000;9.292094E+002
