Timestamp;byte_s;Seq;Cmd;hurtType;armorType
0;222;0;0;0;0
1075;222;0;0;0;0
2075;222;0;0;0;0
3079;222;0;0;0;0
4079;222;0;0;0;0
5078;222;0;0;0;0
6075;222;0;0;0;0
7079;222;0;0;0;0
8080;110;39;4;0;0
9078;0;39;4;0;0
10075;44;39;4;0;0
11079;0;0;0;0;0
12079;96;0;0;0;0
13077;140;41;1;0;0
14079;96;41;1;0;0
15077;96;41;1;0;0
16080;96;41;1;0;0
17078;96;41;1;0;0
18075;96;41;1;0;0
19079;96;41;1;0;0
20080;96;41;1;0;0
21078;96;41;1;0;0
22080;96;41;1;0;0
23077;96;41;1;0;0
24080;96;41;1;0;0
25093;96;41;1;0;0
26079;96;41;1;0;0
27079;96;41;1;0;0
28075;110;0;0;0;0
29079;0;0;0;0;0
30080;0;0;0;0;0
31078;0;43;8;0;0
32080;223;43;8;0;0
33078;223;43;8;0;0
34080;223;43;8;0;0
35094;223;43;8;0;0
36091;223;43;8;0;0
37080;223;43;8;0;0
38078;223;43;8;0;0
39080;223;43;8;0;0
40078;223;43;8;0;0
41080;223;43;8;0;0
42078;223;43;8;0;0
43080;223;43;8;0;0
44078;223;43;8;0;0
45080;223;43;8;0;0
46078;223;43;8;0;0
47089;223;43;8;0;0
48075;110;0;0;0;0
49079;0;0;0;0;0
50080;0;0;0;0;0
51078;0;45;8;0;0
52080;55;45;8;0;0
53078;55;45;8;0;0
54080;55;45;8;0;0
55078;55;45;8;0;0
56080;55;45;8;0;0
57078;55;45;8;0;0
58092;55;45;8;0;0
59078;55;45;8;0;0
60080;55;45;8;0;0
61079;55;45;8;0;0
62078;55;45;8;0;0
63075;55;45;8;0;0
64079;55;45;8;0;0
65079;55;45;8;0;0
66078;55;45;8;0;0
67075;55;45;8;0;0
68154;222;0;0;0;0
69076;0;0;0;0;0
70080;0;0;0;0;0
71079;0;47;8;0;0
72078;26;47;8;0;0
73075;26;47;8;0;0
74079;26;47;8;0;0
75079;26;47;8;0;0
76078;26;47;8;0;0
77075;26;47;8;0;0
78079;26;47;8;0;0
79128;26;47;8;0;0
80078;26;47;8;0;0
81079;26;47;8;0;0
